Headline,Body ID,Stance
Meet the X-BOY: Electric shock turns kid into MAGNETO,2415,discuss
Priest who died for 48 minutes says he met God and she’s a woman,1008,agree
Mexico Says Students Not Among Dead in Mass Grave,1912,discuss
"Seven High School Girls Get Pregnant On Five-Day School Trip, Parents Outraged",2304,discuss
"Apple's New MacBook Will Be A Thinner, Cleaner, Faster 12-Inch MacBook Air",2497,discuss
Seth Rogen To Play Steve Wozniak In Steve Jobs Biopic,614,discuss
"So, There Might Be a Rat Infestation at Vogue",2520,discuss
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",1946,discuss
Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,1471,discuss
Her Majesty’s magic mushrooms,2424,agree
Mass grave found after 40 students disappear in Mexican protest,983,discuss
New policy could reduce marijuana possession arrests,2163,discuss
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,2450,agree
"Islamic State, in video titled ""A Message to America,"" beheads American journalist James Wright Foley who was kidnapped in 2012",2524,agree
WTC rats scare off Anna Wintour,1045,agree
Is There an ISIS Threat on the Texas-Mexico Border or Not?,2249,discuss
"Explosion reported near the Nicaraguan capital attributed to meteorite impact, but experts, including NASA, cast doubt on claims",1594,agree
Mexico finds 4 more graves at site of suspected student massacre,695,discuss
Real-life Magneto boy 'becomes living magnet' after getting massive electric shock from street lamp,2215,agree
"Big Bank Hank, US rapper and Sugarhill Gang founder member, dies at 57",1831,agree
Jihadi John UNMASKED: Islamic State killer NAMED as west Londoner Mohammed Emwazi,1346,discuss
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,1446,discuss
A soldier has been shot at Canada’s war memorial just steps away from the nation’s parliament,321,agree
#HairGate: iPhone 6 Customers Are Complaining That The Phone Is Ripping Out Their Hair,1738,discuss
"Comfort eating? Chinese woman, 26, spends an entire WEEK in KFC after being dumped by boyfriend",2043,agree
Man Known as ‘Jihadi John’ Is Identified as Mohammed Emwazi,2202,discuss
Lawmaker Says ‘At Least 10′ Islamic State Fighters Have Been Captured at the Southern U.S. Border,2367,discuss
US Intel: Taliban Man Released From Gitmo in Bergdahl Deal is Back to Militant Activity,2236,discuss
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1419,discuss
"Rare meteorite impact causes blast in Nicaragua's capital, Managua",1249,discuss
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",2067,agree
ISIS Beheading of U.S. Journalist James Foley Posted to YouTube,456,discuss
CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,1916,discuss
"RCMP release security footage of Michael Zehaf Bibeau during attack, say he shot soldier in back",1380,agree
Government fires employee who skipped work for 24 years,2134,agree
"Wife, child of Islamic State head Abu Bakr al-Baghdadi held in Lebanon, officials say",2268,discuss
"Boko Haram leader denies ceasefire deal, says 200 abducted girls married off ",2530,discuss
Journalist James Wright Foley reportedly beheaded by ISIS,1948,discuss
Rats are still running around at Vogue,2520,discuss
Christian Bale Exits Steve Jobs Movie (Exclusive),755,agree
An audio recording of the Michael Brown shooting has reportedly surfaced,483,discuss
Continuing Violence Puts Boko Haram Ceasefire In Jeopardy,600,discuss
Pentagon: ISIS Got U.S. Weapons Package,1485,agree
ISIS Beheads American Journalist,2450,agree
The Chinese Guide to Avoiding a Bad English Name,1789,agree
"What was fake on the Internet this week: Obama’s peace prize, pumpkin-spice condoms and insane winter snow",1400,agree
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,2530,discuss
That Was Fast: Christian Bale Bails on Steve Jobs Biopic,458,disagree
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",1554,agree
"James Wright Foley, Kidnapped Journalist, Apparently Executed by ISIS",578,discuss
MPs credit sergeant-at-arms for saving lives in Parliament Hill shootings,1900,discuss
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',1045,discuss
CNN Plays Alleged Recording of Michael Brown Shooting,2434,discuss
Unconfirmed reports saying ISIS UK Hostage David Haines Beheaded,2102,discuss
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,1681,discuss
Militant Group Says It Killed American Journalist in Syria,1093,discuss
Islamic State claims it executed American photojournalist James Foley,2147,discuss
"ISIS Militants In Mosul Have Contracted Ebola, Iraqi Media Sources Claim",2060,discuss
Missing American journalist reportedly beheaded by Islamic State ,991,discuss
"Nigeria claims deal with Boko Haram on ceasefire, kidnapped girls",1099,discuss
IRAQI AND KURDISH MEDIA REPORTS: ISIS FIGHTERS HAVE CONTRACTED EBOLA,1891,discuss
Kim Jong-Un 'bans the name Kim Jong-un',1857,discuss
The Case of the Stolen Batmobile Has Been Solved,1313,discuss
Breaking: Soldier shot at National War Memorial in Ottawa,2156,agree
"Confusion swirls, details murky in arrest of ISIS leader's 'wife'",1877,discuss
New Audio Recording From Ferguson May Capture Michael Brown Shooting,693,discuss
"It's 'rubbish' that Robert Plant turned down £500m Led Zeppelin reformation offer, says publicist",2489,discuss
Seth Rogen to play Steve Wozniak alongside Christian Bale's Steve Jobs,999,agree
"Obama, Outraged Over Beheading, Vows to Stay on Course",1658,agree
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,2060,agree
One of 'Taliban Five' in Bowe Bergdahl swap allegedly returned to militancy,2531,discuss
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,867,discuss
"Meteorite Strikes Nicaraguan Capital, Creates 16-Foot-Deep Crater",966,agree
"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",2530,discuss
Oscar winner Christian Bale to play Steve Jobs in upcoming biopic,2455,discuss
Michael Phelps' girlfriend was born male but did not tell swimmer about her past,862,agree
Resetting iOS 8 Preferences May Wipe iCloud Files,1351,discuss
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1192,discuss
Israeli Canadian fighting ISIS posts on Facebook: I'm safe and secure,1330,discuss
Video: Islamic State Claims to Have Captured US Weapons Airdrop Near Kobane,2168,discuss
Sugarhill Gang rapper Big Bank Hank dead at 57,2351,agree
Audio recording allegedly captures moment Michael Brown was shot,2317,discuss
Mexican investigators fear mass grave might hold 43 missing students,1984,discuss
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,1896,discuss
"Calm down everyone, Banksy hasn't been arrested: 9 clues that it's a hoax",2362,agree
ISIS Reportedly Beheads American Photojournalist in Iraq,1016,discuss
Jeh Johnson shoots down Duncan Hunter's assertion IS is entering U.S. via Mexico,1764,agree
Brian Williams slams social media for speculation weatherman Mike Seidel relieved himself on air,1926,discuss
"Gill Rosenberg, Canadian-Israeli Woman Feared Kidnapped By ISIS, Says She's Safe",26,agree
Did a Meteorite Impact in Nicaragua over the Weekend?,1731,discuss
Banksy arrest hoax: US website claims street artist caught in Watford,1739,agree
"ISIS Claims an American Hostage, Kayla Mueller, Died in Airstrike in Syria",2387,discuss
"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",1846,agree
ISIS fighters 'have contracted Ebola': World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,2025,discuss
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,2281,agree
Bali Awry,1478,discuss
Lynch mob use butcher's meat cleaver to castrate rapist they caught attacking teenage girl in alleyway in Indian city,830,agree
"NYPD to issue tickets instead of arrest for weed possession, report says",2389,discuss
The iPhone 6 'Hairgate' Is Not a Thing,1041,agree
We took a look at the photo said to show the body of Islamic State leader Abu Bakr Al-Baghdadi (right) and found it was really an ethnic Albanian militant killed in 2013,1889,discuss
Audio of gunfire in Michael Brown case authenticated by app company,1461,discuss
ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico,666,agree
WAS NBC METEOROLOGIST MIKE SEIDEL PEEING IN THE SNOW ON CAMERA? A TESTY BRIAN WILLIAMS EXPLAINS,2511,discuss
Reports of missing Libyan planes raise 9/11 terror fears,2448,discuss
Comcast gets customer fired for complaining about poor service,2133,discuss
Is Ebola Virus Spreading Among ISIS Militants? Reports Claim Jihadists Seeking Cure at Mosul Hospital,2180,discuss
James Foley remembered as 'brave and tireless' journalist,1336,agree
Sugarhill Gang rapper Big Bank Hank dies aged 57,1637,disagree
Media reports identify Londoner as Islamic State's ‘Jihadi John’,1346,discuss
"Once Again, The Banksy 'Arrest' Is A Giant Hoax. Repeat: A Hoax.",2468,agree
Predator Drone Reportedly Spotted Over ISIS Hotbed in Syria; Airstrikes Hit ISIS Targets,2412,discuss
"Dead for 48 minutes, this Catholic Priest claims God is female",1849,agree
ISIS Beheads Kidnapped Photojournalist James Wright Foley in Horrific Video Message to the U.S.,2386,agree
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,1016,discuss
Apple Watch won’t be the digital doctor it could have been,1788,discuss
US confirms death of Somalia terror group leader,2374,agree
Bali spider burrows under Aussie’s chest,1797,disagree
Terrorism fears rise amid reports of stolen jetliners,2162,discuss
CNN Posts Alleged Audio of Michael Brown Shooting,1379,discuss
ESPN’s All-Male “Monday Night Football” Panel On Domestic Violence Is Not Real,1370,discuss
Wife and child of Islamic State leader Baghdadi held in Lebanon,1263,disagree
Homeland Security says terrorists haven't crossed U.S-Mexico border,1946,discuss
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,1864,discuss
Isilkulskom student has gained superhero powers after shock,2415,discuss
Weaponized Ebola? ISIS Militants Said To Contract Deadly Virus,2075,discuss
ISIL Beheads American Photojournalist in Iraq,205,agree
Missing Libyan aircraft spark fears of 9/11-style attack in North Africa,1865,discuss
"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",2266,discuss
HORROR: ISIS Fighters Have Reportedly Contracted Ebola,1175,discuss
Report: Christian Bale Just Bailed on the Steve Jobs Movie,454,agree
CNN audio: Is this the moment Michael Brown was shot?,1715,discuss
Nigeria says it has deal with Boko Haram to release kidnapped girls,1885,discuss
Audio recording allegedly captures at least 10 shots fired in Michael Brown killing,2481,discuss
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,1891,discuss
Isis claims to behead US journalist,991,discuss
US officials: Video shows American's execution,608,discuss
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',756,agree
"Pumpkin Spice Condoms, And 6 Other Flavors That Aren’t Happening",2055,agree
Iraqi media says ISIS militants have contracted Ebola,1974,discuss
Lebanon confirms holding ISIS chief’s kin,2268,discuss
Lynch Mob Castrates Alleged Rapist In Rajasthan,650,agree
Nigeria says ceasefire agreed with Boko Haram,1896,discuss
UPDATE: BATMAN v SUPERMAN Batmobile Reportedly Stolen By (Shocker!) Detroit Locals,942,discuss
Israeli Canadian fighting ISIS posts on Facebook: I'm safe and secure,1862,disagree
WHO investigates media reports ISIS fighters contracted Ebola,992,discuss
Cameron vows to hunt down IS 'monsters' after Haines murder,1757,discuss
Missing Mexican students 'not found in mass grave',1613,discuss
Mass grave found after 40 students disappear in Mexican protest,2334,discuss
Turkish president says American weapons drop for Kurdish fighters was 'wrong' after supplies end up in the hands of ISIS,1253,discuss
"ISIS Video Shows Execution of David Cawthorne Haines, British Aid Worker",1182,agree
Media outlets identify 'Jihadi John',997,discuss
Nasa questions whether crater in Nicaragua caused by meteorite,961,disagree
Nigeria Boko Haram blamed for raids despite truce claim,1166,discuss
GCPD Solved Stolen Batmobile Case?,1177,discuss
Predator drones being flown over Isil's Syrian 'capital',2443,discuss
Shots Heard In Alleged Brown Shooting Recording [AUDIO],1564,discuss
Senator: Detainees swapped for Bergdahl have contacted militants,2159,discuss
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,1288,discuss
US drones hunt Isis leader in Syria,1740,agree
"Prankster Gives Homeless Man $100, Secretly Follows Him And Learns He Buys Food For Others",2061,agree
"BATMOBILE NOT STOLEN, MTV CONTEST PRIZE REMAINS UNCLAIMED",1538,discuss
"In Vogue vs Rats War, the Rats Are Winning",2498,agree
An Audio Recording of the Michael Brown Shooting Has Reportedly Surfaced,1461,discuss
Newly Discovered Mass Grave Linked to Missing Mexican Students,366,discuss
Founding Fathers-Era Time Capsule Found in Boston,2257,agree
Mexico Says Missing Students Not Found In First Mass Graves,1795,agree
Large space object slams Nicaragua’s capital as asteroid passes Earth,1790,discuss
David Haines beheading video confirmed genuine; UK PM Cameron vows to hunt down ISIS 'monsters',2306,discuss
NASA: Viral news on days of darkness in December is hoax,403,disagree
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",2287,discuss
Accountant Claims Comcast Got Him Fired From His Job for Reporting a Customer Service Issue,451,discuss
"Fidel Castro Dead? Yes, He Is… But The Cuban Leader Is Alive, Death Rumors Proven False",2506,discuss
WFB’s Bill Gertz: Obama Administration ‘Trying to Play Down’ Missing Libyan Airliners,2162,discuss
Seth Rogen Eyed to Play Apple's Steve Wozniak in Christian Bale's Steve Jobs Movie (Exclusive),999,discuss
James Foley remembered as 'brave and tireless' journalist,928,discuss
Report: Nearly a Dozen Commercial Airliners Missing Ahead of 9/11 Anniversary After Islamists Overrun Libyan Airport,1312,discuss
Shocking picture shows mother trying to sell her own son to pay for twin daughter's cancer treatment,1627,agree
ISIS Reportedly Beheads American Photojournalist in Iraq,2047,discuss
Woman Dumped by Boyfriend Spends Entire Week Mourning at KFC,2414,agree
WSJ: Apple cut watch health features due to erratic sensors,1917,discuss
Angry mob hacks off alleged rapist's genitals with meat cleaver after dragging him into butchers,1022,agree
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",2403,discuss
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,2067,agree
"Dead for 48 minutes, this Catholic Priest claims God is female",1407,agree
ISIS leader ‘killed’ in US airstrikes,731,discuss
Teen Makes $72 Million on the Stock Market,2052,disagree
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,847,discuss
Angry mob chops off man's genitals with butcher’s knife for alleged rape attempt,830,agree
Iraqi media: ISIS militants have contracted Ebola,1175,discuss
Islamist websites claim Israeli-Canadian woman kidnapped by IS: report,1173,discuss
Sugarhill Gang Rapper ‘Big Bank Hank’ Dies at 57,824,agree
Ottawa gunman identified as 32-year-old Michael Zehaf-Bibeau,1970,agree
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",880,discuss
Ebola Outbreak 2015 Update: ISIS Fighters May Have Contracted Deadly Virus,1689,discuss
"Batmobile Stolen From ""Batman v Superman: Dawn of Justice"" Set, Zack Snyder Knows Who Did It",1242,disagree
Missing Libyan aircraft spark fears of 9/11-style attack in North Africa,2448,discuss
Small Meteorite Strikes in Nicaragua's Capital City of Managua,1594,disagree
Web of confusion as scientists cast doubt on man's claims that a spider burrowed into his stomach through his SCAR,2042,agree
ISIL video claims beheading of kidnapped journalist James Foley,1336,discuss
Rep. Duncan Hunter: 'At Least 10' ISIS Fighters Caught at Mexican Border,2367,discuss
Ferguson riots: audio may have captured Michael Brown shooting,2220,discuss
Missing jetliners raise fear of new 9/11-style attacks after Libyan airport falls to Islamic militants,170,discuss
Mexican students not among bodies found in mass graves,983,discuss
Small Meteorite Hits Managua,2475,disagree
Audio recording allegedly captures at least 10 shots fired in Michael Brown killing,2434,discuss
Islamic State claims to have beheaded American journalist,1288,discuss
Vigilantes cut off alleged rapist's penis,654,discuss
Crank-Boosting Behind Top Apps in App Store,1384,agree
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,800,discuss
Continuing Violence Puts Boko Haram Ceasefire In Jeopardy,2403,discuss
How did a Texas plumber's truck end up with Syrian rebels? (+video),2379,agree
"Video Appears to Show Beheading of Journalist James Foley, Who Went Missing in Syria",2524,discuss
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',1976,agree
Now THAT'S a Royal trip! Alan Titchmarsh finds psychedelic mushroom in the Queen's garden at Buckingham Palace,2480,discuss
WHO ‘probing’ whether ISIS fighters got Ebola,2075,discuss
More American Weapons for ISIS,1949,agree
Rumors about Fidel Castro’s death again circulate on the Internet,2028,discuss
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",1011,discuss
"Audio captured at time of Michael Brown shooting, company says",2287,discuss
Christian Bale in Talks to Play Steve Jobs in Danny Boyle's Biopic,1299,discuss
Accountant Says Comcast Got Him Fired for Contesting Bogus Charges,2405,discuss
The Guy Who Said a Spider Burrowed Under His Skin? Experts Say…,1638,discuss
"Op-Ed: Hoax – Priest who never existed claims he died, saw female God",2240,disagree
Who Should Play Steve Jobs Now That Christian Bale Quit?,1019,disagree
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1355,discuss
Batmobile Stolen From 'Batman V Superman: Dawn Of Justice' Set? Report Claims That One Of The Batmobile Models Is Missing! Detroit Locals Responsible?,2519,discuss
Low-level marijuana possession could soon land you a ticket instead of arrest in New York City,1802,discuss
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,1489,discuss
"ISIS beheads American photo-journalist James Wright Foley, threatens more to come",2450,agree
Detroit Police Issue Statement That The Batmobile Is Safe,1459,discuss
CPWD official sacked for absence from duty for 25 years,829,agree
Nigeria says ceasefire agreed with Boko Haram,1027,discuss
Nun gives birth to surprise baby after complaining of stomach pains,1412,agree
Homeland Security: No ISIL fighters on U.S. border,1890,agree
"No, there aren’t any Ebola cases in Iraq",639,discuss
Homeless man who received a meal and hotel stay after spending $100 donation on food for friends insists it was NOT a hoax – despite new witness insisting there was no way he could have been secretly filmed,1925,discuss
Weather Channel’s Mike Seidel was not caught with his pants down,1855,discuss
Bodies In Mexico Mass Grave Apparently Not Those Of Missing Students,983,discuss
ISIS fighters seize weapons airdrop meant for Kurds,1076,discuss
Anna Wintour 'refuses to work at new World Trade Center Vogue office due to rat infestation',1693,discuss
The Story Of The High School Trader Who Made $72 Million Is A Rumor Spun Out Of Control,1858,discuss
Wife Of ISIS Leader Abu Bakr al-Baghdadi Detained In Lebanon,1263,disagree
Michael Brown shooting audio caught on tape?,2149,discuss
James Foley remembered as 'brave and tireless' journalist,1966,agree
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",1885,discuss
ESPN to save NFL's image with all-male domestic abuse discussion,283,disagree
Knightscope Security Robots Are Keeping Microsoft Campuses Safe (and They Look Really Scary),2529,agree
Seth Rogen to Play Apple’s Steve Wozniak,712,discuss
Boko Haram denies truce to release kidnapped schoolgirls,2463,discuss
Report: 4 ISIS Terrorists Caught at Southern Border in 36 Hrs,2266,discuss
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",1336,discuss
Spider burrowed through tourist's stomach and up into his chest,1478,agree
Priest who died for 48 minutes says he met God and she’s a woman,2515,agree
7 teen girls get pregnant on school trip Read more at http://www.wnd.com/2014/12/7-teen-girls-get-pregnant-on-school-trip/#F5filOd6yFpASPV9.99,2304,discuss
Confusion Surrounds Capture Of “ISIS Leader’s Wife”,2337,discuss
Boko Haram Denies Nigeria Cease-Fire Claim,2191,discuss
